id,city,lat,long
0,Sydney,-33.865,151.2094
1,Melbourne,-37.8136,144.9631
2,Brisbane,-27.4678,153.0281
3,Perth,-31.9522,115.8589
4,Adelaide,-34.9289,138.6011
5,Canberra,-35.2931,149.1269
6,Newcastle,-32.9167,151.75
7,Wollongong,-34.4331,150.8831
8,Hobart,-42.8806,147.325
9,Townsville,-19.2564,146.8183
10,Cairns,-16.9303,145.7703
11,Darwin,-12.4381,130.8411
12,Ballarat,-37.55,143.85
13,Bendigo,-36.75,144.2667
14,Launceston,-41.4419,147.145
15,Albury,-36.0806,146.9158
16,Albany,-35.0228,117.8814
17,Mildura,-34.1889,142.1583
18,Sale,-38.1,147.0667
19,Penrith,-33.7511,150.6942
20,Portland,-38.3333,141.6
21,Moree,-29.465,149.8344
22,Nuriootpa,-34.4667,138.9833
23,Richmond,-33.5983,150.7511
24,Cobar,-31.4997,145.8319
25,Perth,-31.9522,115.8589
26,Katherine,-14.4667,132.2667
27,Richmond,-33.5983,150.7511
28,BadgerysCreek,-37.7,145.517
29,CoffsHarbour,-30.296,153.113
30,NorfolkIsland,-29.029,167.956
31,WaggaWagga,-35.125,147.353
32,Williamtown,-35.672,138.891
33,MountGinini,-35.533,148.783
34,Watsonia,-37.716,145.083
35,Dartmoor,-37.933,141.283
36,GoldCoast,-28.0,153.433
37,MountGambier,-37.831,140.779
38,Woomera,-31.15,136.8
39,Witchcliffe,-34.033,115.1
40,PearceRAAF,-31.666,116.016
41,AliceSprings,-23.697,133.883
